branch,target_nm,radius_nm,environment_charge_e,effective_enclosed_charge_e,water_charge_e,ion_charge_e,ligand_charge_e
probe_1p0nm,1.000000,1.070000,-1.992634277,-0.992634277,-1.755010515,-0.237623762,0.000000000
probe_1p0nm,1.000000,1.090000,-1.814258277,-0.814258277,-1.566733525,-0.247524752,0.000000000
probe_1p0nm,1.000000,1.110000,-1.622433921,-0.622433921,-1.365008178,-0.257425743,0.000000000
probe_1p0nm,1.000000,1.130000,-1.316298535,-0.316298535,-1.048971802,-0.267326733,0.000000000
probe_1p0nm,1.000000,1.150000,-0.710751941,0.289248059,-0.423623228,-0.287128713,0.000000000
probe_1p0nm,1.000000,1.170000,-1.227772554,-0.227772554,-0.901039881,-0.326732673,0.000000000
probe_1p0nm,1.000000,1.190000,-0.942674467,0.057325533,-0.618624396,-0.326732673,0.002682603
probe_1p0nm,1.000000,1.210000,-0.638750096,0.361249904,-0.316036376,-0.326732673,0.004018953
probe_1p0nm,1.000000,1.230000,-0.960164399,0.039835601,-0.638796931,-0.326732673,0.005365205
probe_1p0nm,1.000000,1.250000,-1.598324014,-0.598324014,-1.257421327,-0.346534653,0.005631966
probe_1p0nm,1.000000,1.270000,-1.485384447,-0.485384447,-1.116213584,-0.376237624,0.007066761
probe_1p0nm,1.000000,1.290000,-1.389763734,-0.389763734,-0.941384950,-0.455445545,0.007066761
probe_1p0nm,1.000000,1.310000,-0.992118965,0.007881035,-0.551382614,-0.445544554,0.004808204
probe_1p0nm,1.000000,1.330000,-1.255545259,-0.255545259,-0.786728851,-0.475247525,0.006431117
probe_1p0nm,1.000000,1.350000,-0.836196670,0.163803330,-0.396726515,-0.445544554,0.006074399
probe_1p0nm,1.000000,1.370000,-0.228542854,0.771457146,0.221897881,-0.455445545,0.005004809
probe_1p0nm,1.000000,1.390000,-0.777727233,0.222272767,-0.275691307,-0.504950495,0.002914569
probe_1p0nm,1.000000,1.410000,-0.538296113,0.461703887,-0.053793426,-0.485148515,0.000645827
probe_1p0nm,1.000000,1.430000,-1.487260105,-0.487260105,-1.015350911,-0.475247525,0.003338331
probe_1p0nm,1.000000,1.450000,-1.345921627,-0.345921627,-0.907764059,-0.445544554,0.007386987
probe_1p0nm,1.000000,1.470000,-1.304716020,-0.304716020,-0.867418990,-0.445544554,0.008247525
probe_1p0nm,1.000000,1.490000,-1.362878885,-0.362878885,-0.927936594,-0.445544554,0.010602263
probe_1p0nm,1.000000,1.510000,-1.258395836,-0.258395836,-0.833798099,-0.435643564,0.011045827
probe_1p0nm,1.000000,1.530000,-1.548347613,-0.548347613,-1.163282832,-0.396039604,0.010974823
probe_1p0nm,1.000000,1.550000,-2.590118815,-1.590118815,-2.239151347,-0.366336634,0.015369165
probe_1p0nm,1.000000,1.570000,-1.344825652,-0.344825652,-0.968281663,-0.396039604,0.019495615
probe_1p0nm,1.000000,1.590000,-0.101177058,0.898822942,0.201725347,-0.326732673,0.023830269
probe_1p0nm,1.000000,1.610000,-0.336256167,0.663743833,-0.100862673,-0.267326733,0.031933239
probe_1p0nm,1.000000,1.630000,-0.359647613,0.640352387,-0.154656099,-0.237623762,0.032632249
probe_1p0nm,1.000000,1.650000,-1.565913969,-0.565913969,-1.371732356,-0.227722772,0.033541160
probe_1p0nm,1.000000,1.670000,-1.470828507,-0.470828507,-1.284318040,-0.217821782,0.031311315
probe_1p0nm,1.000000,1.690000,-0.813721584,0.186278416,-0.605176040,-0.237623762,0.029078218
probe_1p0nm,1.000000,1.710000,-1.622030750,-0.622030750,-1.412077426,-0.227722772,0.017769448
probe_1p0nm,1.000000,1.730000,-0.688329825,0.311670175,-0.463968297,-0.237623762,0.013262235
probe_1p0nm,1.000000,1.750000,-1.376733635,-0.376733635,-1.143110297,-0.247524752,0.013901414
probe_1p0nm,1.000000,1.770000,-1.242269947,-0.242269947,-1.062420158,-0.188118812,0.008269024
probe_1p0nm,1.000000,1.790000,-1.436481655,-0.436481655,-1.311214752,-0.128712871,0.003445969
probe_1p0nm,1.000000,1.810000,-1.102811672,-0.102811672,-1.062420158,-0.049504950,0.009113437
probe_1p0nm,1.000000,1.830000,-1.551467913,-0.551467913,-1.553285168,-0.009900990,0.011718246
probe_1p0nm,1.000000,1.850000,-0.963159723,0.036840277,-0.981730020,0.009900990,0.008669307
probe_1p0nm,1.000000,1.870000,-1.252182181,-0.252182181,-1.230524614,-0.009900990,-0.011756578
probe_1p0nm,1.000000,1.890000,-0.877579644,0.122420356,-0.887591525,0.019801980,-0.009790099
probe_1p0nm,1.000000,1.910000,-0.603907140,0.396092860,-0.618624396,0.009900990,0.004816265
probe_1p0nm,1.000000,1.930000,-0.864273361,0.135726639,-0.934660772,0.069306931,0.001080480
probe_1p0nm,1.000000,1.950000,-0.580567279,0.419432721,-0.598451861,0.019801980,-0.001917398
probe_1p0nm,1.000000,1.970000,-1.378436484,-0.378436484,-1.351559822,-0.009900990,-0.016975672
probe_1p0nm,1.000000,1.990000,-1.544032187,-0.544032187,-1.506215921,-0.019801980,-0.018014286
probe_1p0nm,1.000000,2.010000,-0.330607839,0.669392161,-0.289139663,-0.019801980,-0.021666196
probe_1p0nm,1.000000,2.030000,-0.352619961,0.647380039,-0.322760554,-0.009900990,-0.019958417
probe_1p0nm,1.000000,2.050000,0.368040285,1.368040285,0.356381446,0.029702970,-0.018044131
probe_1p0nm,1.000000,2.070000,-0.936146046,0.063853954,-0.948109129,0.029702970,-0.017739888
probe_1p0nm,1.000000,2.090000,-2.315284360,-1.315284360,-2.306393129,0.029702970,-0.038594202
probe_1p0nm,1.000000,2.110000,-1.999215246,-0.999215246,-1.929839149,-0.039603960,-0.029772137
probe_1p0nm,1.000000,2.130000,-0.928584321,0.071415679,-0.880867347,-0.029702970,-0.018014004
probe_1p0nm,1.000000,2.150000,-1.682728499,-0.682728499,-1.627251129,-0.039603960,-0.015873410
probe_1p0nm,1.000000,2.170000,-0.590113942,0.409886058,-0.497589188,-0.069306931,-0.023217823
probe_1p0nm,1.000000,2.190000,-1.384209404,-0.384209404,-1.291042218,-0.069306931,-0.023860256
probe_1p0nm,1.000000,2.210000,-1.309900703,-0.309900703,-1.237248792,-0.049504950,-0.023146960
probe_1p0nm,1.000000,2.230000,-1.393667537,-0.393667537,-1.291042218,-0.069306931,-0.033318389
probe_1p0nm,1.000000,2.250000,-1.247694547,-0.247694547,-1.183455366,-0.049504950,-0.014734230
probe_1p0nm,1.000000,2.270000,-0.008007186,0.991992814,0.201725347,-0.198019802,-0.011712731
probe_1p0nm,1.000000,2.290000,-0.091305580,0.908694420,0.161380277,-0.237623762,-0.015062095
probe_1p0nm,1.000000,2.310000,-0.921529430,0.078470570,-0.665693644,-0.257425743,0.001589956
probe_1p0nm,1.000000,2.330000,-1.823178225,-0.823178225,-1.452422495,-0.376237624,0.005481894
probe_1p0nm,1.000000,2.350000,-2.890437506,-1.890437506,-2.447600871,-0.465346535,0.022509900
probe_1p0nm,1.000000,2.370000,-2.559805908,-1.559805908,-2.044150178,-0.524752475,0.009096745
probe_1p0nm,1.000000,2.390000,-0.819346437,0.180653563,-0.302588020,-0.534653465,0.017895048
probe_1p0nm,1.000000,2.410000,-0.144568703,0.855431297,0.416899049,-0.574257426,0.012789673
