branch,target_nm,radius_nm,delta_environment_charge_e,delta_water_charge_e,delta_ion_charge_e,delta_ligand_charge_e
probe_1p0nm,1.0,0.63,-0.07973665399999996,-0.20844952500000002,0.128712871,0.0
probe_1p0nm,1.0,0.65,0.37115384100000004,0.26224295,0.108910891,0.0
probe_1p0nm,1.0,0.67,0.9897782369999999,0.880867346,0.108910891,0.0
probe_1p0nm,1.0,0.69,0.22041566300000004,0.14120774199999997,0.079207921,0.0
probe_1p0nm,1.0,0.71,-0.6204771680000001,-0.7194870700000001,0.099009901,0.0
probe_1p0nm,1.0,0.73,-0.5326922970000001,-0.611900218,0.079207921,0.0
probe_1p0nm,1.0,0.75,0.15672124800000004,0.08741431699999996,0.069306931,0.0
probe_1p0nm,1.0,0.77,0.6036938219999999,0.524485901,0.07920792099999999,0.0
probe_1p0nm,1.0,0.79,0.029332415999999917,-0.020172533999999964,0.04950495,0.0
probe_1p0nm,1.0,0.81,0.4419429910000001,0.3429330890000001,0.09900990100000001,0.0
probe_1p0nm,1.0,0.83,-0.654468614,-0.7732804959999999,0.11881188100000001,0.0
probe_1p0nm,1.0,0.85,-0.542963841,-0.632072753,0.089108911,0.0
probe_1p0nm,1.0,0.87,0.2362997229999999,0.10758685200000007,0.128712871,0.0
probe_1p0nm,1.0,0.89,0.45745649499999996,0.28913966300000005,0.16831683199999997,0.0
probe_1p0nm,1.0,0.91,0.5654139009999999,0.41689904899999997,0.14851485199999997,0.0
probe_1p0nm,1.0,0.93,-0.573778475,-0.6925903560000001,0.11881188099999998,0.0
probe_1p0nm,1.0,0.95,0.20622619900000005,0.08741431599999999,0.11881188099999998,0.0
probe_1p0nm,1.0,0.97,-0.10663336599999995,-0.23534623800000004,0.12871287100000003,0.0
probe_1p0nm,1.0,0.99,0.058294277000000005,-0.060517604,0.11881188100000001,0.0
probe_1p0nm,1.0,1.01,0.32016667400000004,0.18155281199999998,0.138613861,0.0
probe_1p0nm,1.0,1.03,0.49780156499999995,0.32948473300000003,0.168316832,0.0
