z_nm,rho_mean_e_per_nm3,rho_2ns_block_sd_e_per_nm3,phi_mean_mV_relative_to_bulk,phi_2ns_block_sd_mV,E_mean_V_per_m,exponential_fit_mV
4.950000000000000178e+00,-7.806231717872105791e-02,2.360626831202225218e-01,-1.421934002266977970e-01,1.941818566491008653e+02,-1.908562826373597980e+07,-5.952478544125098381e+01
5.050000000000000711e+00,7.831037011674596426e-02,2.045497738631130991e-01,1.755148051874599879e+00,1.901234618480664551e+02,-1.886120077829005197e+07,-6.003567750487157184e+01
5.150000000000000355e+00,-3.902783816736296162e-03,2.242532395599905748e-01,2.752311005964624968e-01,1.935680560116122138e+02,4.845953980385170877e+07,-6.053645322783540905e+01
5.250000000000000000e+00,-5.129018435349576299e-02,2.115243971450188332e-01,-2.073913295638718512e+00,2.001938991535429295e+02,-1.476651879147656262e+06,-6.102731292710880950e+01
5.350000000000000533e+00,-1.272131469607729742e-02,1.278396523421497788e-01,9.694925929724096392e-01,2.025062986869792496e+02,-5.939146589307519794e+07,-6.150845295311633976e+01
5.450000000000000178e+00,9.520794245184499571e-02,1.387956042260755363e-01,3.177123926394631592e+00,2.074808050591373103e+02,1.523883922463040054e+07,-6.198006576828369418e+01
5.550000000000000711e+00,4.578202728218624257e-02,2.324208443679829372e-01,-4.724838932051556029e+00,2.112237306736116409e+02,1.428004179442925453e+08,-6.244234002402521355e+01
5.650000000000000355e+00,-1.329484093698222735e-01,2.280400646857166647e-01,-1.506166358438354536e+01,2.137338737614054764e+02,6.393607510234722495e+07,-6.289546063620690575e+01
5.750000000000000000e+00,-5.764855855183754346e-02,1.938918478416320201e-01,-1.283307968159347290e+01,2.164751555396149740e+02,-1.085077531581481695e+08,-6.333960885911533722e+01
5.850000000000000533e+00,2.064827872018007437e-01,1.693099294487886985e-01,-8.715240478158637671e+00,2.154392513697591482e+02,2.615096908945205808e+07,-6.377496235796176194e+01
5.950000000000000178e+00,-7.916306162670229407e-02,1.756292306954075899e-01,-1.709000427232676600e+01,2.128946206967797252e+02,1.413443067939109802e+08,-6.420169527995045655e+01
6.050000000000000711e+00,5.451832773260484929e-04,2.015761651863901827e-01,-2.766793348684237941e+01,2.057502433662018575e+02,7.021427749640034139e+07,-6.461997832394010288e+01
6.150000000000000355e+00,-6.493544192886632760e-02,2.189684817948169548e-01,-3.177648627691876015e+01,1.980793729596419439e+02,1.195677830512782186e+07,-6.502997880872545977e+01
6.250000000000000000e+00,-4.312351267768505664e-02,1.130266646829173743e-01,-2.808381252099923131e+01,1.960846471379953755e+02,-8.581025342351910472e+07,-6.543186073996720609e+01
6.350000000000000533e+00,-6.207785579363199295e-03,2.029797575193742210e-01,-1.727114676556312745e+01,2.014235480394764863e+02,-1.304430616852027178e+08,-6.582578487579630178e+01
6.450000000000000178e+00,2.188473512628394402e-01,1.410663834907764369e-01,-1.384619108985324409e+01,2.143109005003111918e+02,6.194394817100515962e+07,-6.621190879111949812e+01
6.550000000000000711e+00,-2.764853745748411251e-01,2.014160701738672565e-01,-1.743316735731170652e+01,2.245826145538956098e+02,9.795577178164541721e+06,-6.659038694065132802e+01
6.650000000000000355e+00,2.568267171604584620e-01,2.831745371980135539e-01,-1.752341026074161334e+01,2.240591870729093955e+02,-7.990719109566062689e+06,-6.696137072069799956e+01
6.750000000000000000e+00,-1.004948393297821901e-01,1.421630546322869004e-01,-2.379645176959410691e+01,2.172675575910691350e+02,1.334515492866158634e+08,-6.732500852971806182e+01
6.850000000000000533e+00,-6.409262386045608273e-02,1.599163541184668025e-01,-2.969602859024666941e+01,2.121630441276309682e+02,-1.546001287356401980e+07,-6.768144582768373141e+01
6.950000000000000178e+00,1.007545291190288655e-01,2.830141552045195019e-01,-2.980853199030752876e+01,2.117584765761922938e+02,1.771008087478157878e+07,-6.803082519426669705e+01
7.050000000000000711e+00,-5.905079043310737519e-02,2.268121533661470179e-01,-3.346612632052481473e+01,2.213732606440410962e+02,5.544180572956275195e+07,-6.837328638587210605e+01
7.150000000000000355e+00,1.419158851092187923e-02,1.553722285528524594e-01,-3.698097437142544663e+01,2.406197303814289228e+02,1.485515528845077008e+07,-6.870896639154275931e+01
7.250000000000000000e+00,-6.852197805189054469e-02,2.856979848344823880e-01,-3.600870149327462144e+01,2.525084818095624826e+02,-3.430061285146785527e+07,-6.903799948775673556e+01
7.350000000000000533e+00,9.442021372180070538e-02,1.998798303400153575e-01,-3.375021994331739705e+01,2.515756286412362215e+02,-1.086901814767667651e+07,-6.936051729213970418e+01
7.450000000000000178e+00,-9.026677177070091540e-02,1.887203828992352894e-01,-3.285121078978026077e+01,2.455211572555514294e+02,-7.111164923066183925e+06,-6.967664881611366923e+01
7.550000000000000711e+00,-5.812731571285244953e-02,1.389075143075141905e-01,-2.542706921215204119e+01,2.338836465826817630e+02,-1.413716666294983327e+08,-6.998652051650341832e+01
7.650000000000000355e+00,1.272102818767744115e-01,1.269537742350318743e-01,-1.441506536863212951e+01,2.229096339185077227e+02,-7.886841024089993536e+07,-7.029025634612074214e+01
7.750000000000000000e+00,-1.371463118282218174e-01,2.259387316656582823e-01,-6.078740005619476250e+00,2.230864934791830194e+02,-8.785809701935276389e+07,-7.058797780334738547e+01
7.850000000000000533e+00,1.573540444550259876e-01,1.513221065820789246e-01,1.792915916056569969e+00,2.335561608119372750e+02,-6.957502141416829824e+07,-7.087980398073588617e+01
