u_fraction,v_fraction,rotation_deg,best_height_A,best_LJ_kJmol,best_Coulomb_kJmol,best_total_kJmol
0.6000000000000001,0.4,0.0,3.2999999999999994,-99.90691056088156,-0.03927579895742239,-99.94618635983898
0.6000000000000001,0.4,15.0,3.2999999999999994,-99.92368970725643,-0.031243625769572514,-99.954933333026
0.6000000000000001,0.4,30.0,3.2999999999999994,-100.08382902944324,-0.0395000841142088,-100.12332911355745
0.6000000000000001,0.4,45.0,3.2999999999999994,-100.03522145597933,-0.06933405003992155,-100.10455550601925
0.6000000000000001,0.4,60.0,3.2999999999999994,-99.95427038090205,-0.05466834778531071,-100.00893872868735
0.6000000000000001,0.6000000000000001,0.0,3.2999999999999994,-99.94576844062581,-0.05327837539331126,-99.99904681601912
0.6000000000000001,0.6000000000000001,15.0,3.2999999999999994,-100.07081123953272,-0.05320015931333222,-100.12401139884605
0.6000000000000001,0.6000000000000001,30.0,3.2999999999999994,-100.42101498067363,-0.03628322509842219,-100.45729820577205
0.6000000000000001,0.6000000000000001,45.0,3.2999999999999994,-100.18328292900003,-0.09153483362562431,-100.27481776262566
0.6000000000000001,0.6000000000000001,60.0,3.2999999999999994,-99.99261711557897,-0.0683312868705026,-100.06094840244947
0.6000000000000001,0.8,0.0,3.2999999999999994,-99.97570345079374,-0.06190025557039602,-100.03760370636414
0.6000000000000001,0.8,15.0,3.2999999999999994,-99.8403164512148,-0.009780581028072444,-99.85009703224287
0.6000000000000001,0.8,30.0,3.2999999999999994,-99.52587009573273,-0.030206244212832356,-99.55607633994556
0.6000000000000001,0.8,45.0,3.2999999999999994,-99.87766925285419,-0.021538038428228656,-99.89920729128242
0.6000000000000001,0.8,60.0,3.2999999999999994,-99.98803075930634,-0.06685229976982354,-100.05488305907616
0.8,0.0,0.0,3.2999999999999994,-99.9798106467002,-0.06361406395946956,-100.04342471065966
0.8,0.0,15.0,3.2999999999999994,-99.95000368865465,-0.04420687690111924,-99.99421056555576
0.8,0.0,30.0,3.2999999999999994,-99.74393624808165,-0.033555097817834945,-99.77749134589949
0.8,0.0,45.0,3.2999999999999994,-99.85943801219132,-0.013566704270018715,-99.87300471646134
0.8,0.0,60.0,3.2999999999999994,-99.94317375877465,-0.05113620870705082,-99.9943099674817
0.8,0.2,0.0,3.2999999999999994,-99.87664543482629,-0.02772506688409626,-99.90437050171039
0.8,0.2,15.0,3.2999999999999994,-99.76261126328615,-0.022537382576005793,-99.78514864586215
0.8,0.2,30.0,3.2999999999999994,-99.52210900613363,-0.044663760651898254,-99.56677276678553
0.8,0.2,45.0,3.2999999999999994,-99.72293502917012,-0.007879203980354799,-99.73081423315047
0.8,0.2,60.0,3.2999999999999994,-99.85934582740379,-0.022133839201355254,-99.88147966660514
