time_ps,pyrene_height_nm,lateral_displacement_nm,lateral_x_nm,lateral_y_nm,path_length_nm,tilt_deg
333.000,0.34339980,0.62567012,-0.43950508,-0.44530708,14.15576291,10.824111
334.000,0.32480365,0.65523787,-0.49119875,-0.43365937,14.20875258,7.373099
335.000,0.33687940,0.63643425,-0.48476567,-0.41237217,14.23099060,3.825666
336.000,0.35369945,0.56856808,-0.44609718,-0.35251521,14.30225145,7.841549
337.000,0.32461663,0.60444442,-0.48719380,-0.35776424,14.34368193,6.475023
338.000,0.32457011,0.58603246,-0.45148616,-0.37362319,14.38275291,1.993705
339.000,0.32042207,0.55726051,-0.39063505,-0.39742111,14.44809201,1.473792
340.000,0.33983830,0.64748343,-0.48927479,-0.42408133,14.55027110,1.443607
341.000,0.35994090,0.54168394,-0.43864677,-0.31782150,14.66797558,11.510315
342.000,0.32316045,0.64691057,-0.57059298,-0.30482279,14.80056054,5.451292
343.000,0.33357776,0.55747033,-0.48285243,-0.27861568,14.89213137,8.542609
344.000,0.32274582,0.46238404,-0.39192652,-0.24534180,14.98895426,7.078340
345.000,0.34050783,0.45444995,-0.36603594,-0.26933706,15.02425432,7.247518
346.000,0.35923029,0.53240746,-0.47809190,-0.23427727,15.14166696,3.483633
347.000,0.32631217,0.55438334,-0.47168639,-0.29129510,15.19904346,4.808683
348.000,0.31911862,0.54607365,-0.48259804,-0.25552998,15.23643608,1.929047
349.000,0.33402459,0.52080735,-0.40489689,-0.32756497,15.34239130,5.236373
350.000,0.34101629,0.52696831,-0.45513775,-0.26560352,15.42216201,3.300967
351.000,0.32347305,0.49932546,-0.44933015,-0.21778047,15.47033640,7.299148
352.000,0.33485422,0.49779426,-0.45008340,-0.21265948,15.47551250,6.284378
353.000,0.34743965,0.43983292,-0.39939720,-0.18421421,15.53363499,0.903740
354.000,0.32714525,0.46322181,-0.44448459,-0.13041431,15.60382974,3.478853
355.000,0.31271267,0.48030585,-0.45659454,-0.14904741,15.62605233,4.774381
356.000,0.32800546,0.50997421,-0.49211069,-0.13379371,15.66470556,3.423312
357.000,0.33080209,0.44730284,-0.43099663,-0.11967343,15.72742964,7.092848
358.000,0.32749622,0.51751856,-0.49482692,-0.15156447,15.79878329,0.530818
